                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.83794,                0.51523,                 1.0937,                0.98914,                      1,                  0.995,                0.85465,                0.68666,                 0.3991,                0.98883,              0.0006438,              0.0006438,              0.0006438
                     64,                0.71297,                0.48757,                 1.0957,                0.99046,                      1,                  0.995,                0.84092,                0.73282,                0.39275,                 1.0164,             0.00062729,             0.00062729,             0.00062729
                     65,                0.82373,                0.49093,                 1.1021,                0.99113,                      1,                  0.995,                0.82436,                0.75775,                0.37158,                 1.0416,             0.00061079,             0.00061079,             0.00061079
                     66,                0.80635,                0.63552,                 1.1269,                0.99067,                      1,                  0.995,                0.82146,                0.76364,                0.38154,                 1.0412,             0.00059429,             0.00059429,             0.00059429
                     67,                0.87095,                0.60763,                 1.2445,                0.99184,                      1,                  0.995,                0.82103,                0.73288,                0.42588,                 1.0544,             0.00057778,             0.00057778,             0.00057778
                     68,                0.79655,                0.54556,                  1.111,                0.97733,                      1,                  0.995,                0.84066,                0.70564,                 0.4014,                  1.027,             0.00056128,             0.00056128,             0.00056128
                     69,                0.75604,                0.47665,                 1.0796,                0.96064,                      1,                  0.995,                0.85006,                0.72648,                0.41963,                 1.0347,             0.00054478,             0.00054478,             0.00054478
                     70,                0.79926,                0.46406,                 1.0912,                0.94323,                      1,                  0.995,                0.81496,                0.76434,                0.44129,                 1.0691,             0.00052827,             0.00052827,             0.00052827
                     71,                0.81343,                 0.4961,                 1.1706,                0.96906,                      1,                  0.995,                0.78263,                0.78059,                0.48615,                 1.0744,             0.00051177,             0.00051177,             0.00051177
                     72,                0.72438,                0.48254,                 1.0919,                0.97931,                      1,                  0.995,                 0.8025,                0.83395,                0.52177,                 1.0997,             0.00049527,             0.00049527,             0.00049527
                     73,                0.70781,                0.46421,                 1.0423,                0.99058,                      1,                  0.995,                0.83075,                 0.8228,                0.49599,                 1.0639,             0.00047876,             0.00047876,             0.00047876
                     74,                0.73246,                0.45811,                 1.0886,                0.99097,                      1,                  0.995,                0.83071,                0.79138,                0.42977,                 1.0268,             0.00046226,             0.00046226,             0.00046226
                     75,                0.69384,                0.49085,                 1.0733,                0.99222,                      1,                  0.995,                0.83598,                0.79288,                0.40723,                 1.0334,             0.00044576,             0.00044576,             0.00044576
                     76,                0.68967,                0.42766,                 1.0404,                 0.9921,                      1,                  0.995,                0.83489,                0.79249,                0.39048,                 1.0495,             0.00042925,             0.00042925,             0.00042925
                     77,                0.67081,                0.41387,                 1.0341,                0.99229,                      1,                  0.995,                0.83566,                0.79043,                0.37927,                 1.0412,             0.00041275,             0.00041275,             0.00041275
                     78,                0.66176,                0.43538,                 1.0703,                 0.9919,                      1,                  0.995,                0.82486,                0.78723,                0.39011,                 1.0733,             0.00039625,             0.00039625,             0.00039625
                     79,                0.69076,                0.47811,                 1.0608,                0.99159,                      1,                  0.995,                0.81482,                0.81106,                0.40494,                 1.0994,             0.00037974,             0.00037974,             0.00037974
                     80,                0.65365,                 0.4408,                 1.0409,                0.99092,                      1,                  0.995,                0.83299,                0.78833,                0.41451,                  1.074,             0.00036324,             0.00036324,             0.00036324
                     81,                 0.7241,                0.42967,                 1.0266,                0.99043,                      1,                  0.995,                0.83299,                0.75405,                0.39742,                 1.0412,             0.00034674,             0.00034674,             0.00034674
                     82,                0.75709,                0.49169,                 1.1742,                0.99067,                      1,                  0.995,                0.86231,                0.72599,                0.38126,                 1.0135,             0.00033023,             0.00033023,             0.00033023
                     83,                0.67587,                 0.4147,                 1.0397,                0.99132,                      1,                  0.995,                0.85162,                0.68876,                0.44565,                 1.0454,             0.00031373,             0.00031373,             0.00031373
                     84,                0.68487,                 0.4982,                 1.0561,                0.99608,                      1,                  0.995,                0.85189,                0.69103,                0.47403,                 1.0541,             0.00029723,             0.00029723,             0.00029723
                     85,                0.71784,                0.43042,                 1.1067,                0.99299,                      1,                  0.995,                0.85886,                0.72161,                0.42858,                 1.0622,             0.00028072,             0.00028072,             0.00028072
                     86,                0.68928,                0.40888,                 1.0905,                0.99344,                      1,                  0.995,                0.83077,                0.71766,                0.40737,                 1.0415,             0.00026422,             0.00026422,             0.00026422
                     87,                0.62692,                0.40833,                 1.0042,                0.99312,                      1,                  0.995,                0.84498,                0.71119,                0.39917,                 1.0287,             0.00024772,             0.00024772,             0.00024772
                     88,                0.62829,                0.42162,                 1.0683,                0.99291,                      1,                  0.995,                0.84553,                0.70318,                0.38598,                 1.0209,             0.00023121,             0.00023121,             0.00023121
                     89,                0.60961,                0.41736,                  1.051,                0.99264,                      1,                  0.995,                  0.846,                0.71057,                0.37642,                 1.0278,             0.00021471,             0.00021471,             0.00021471
                     90,                0.69087,                 0.4235,                 1.0808,                0.99268,                      1,                  0.995,                0.83488,                0.72478,                0.37486,                 1.0399,             0.00019821,             0.00019821,             0.00019821
                     91,                 1.0112,                0.55459,                 1.4736,                0.99266,                      1,                  0.995,                 0.8318,                0.76414,                0.38095,                 1.0694,              0.0001817,              0.0001817,              0.0001817
                     92,                0.53057,                0.37648,                 1.0034,                0.99265,                      1,                  0.995,                0.84814,                0.78067,                0.38683,                 1.0774,              0.0001652,              0.0001652,              0.0001652
                     93,                0.56959,                0.37814,                0.96706,                0.99193,                      1,                  0.995,                0.83633,                0.78957,                0.39157,                 1.0748,              0.0001487,              0.0001487,              0.0001487
                     94,                 0.5601,                0.33102,                0.98079,                0.99118,                      1,                  0.995,                0.84116,                0.78553,                0.40362,                 1.0654,             0.00013219,             0.00013219,             0.00013219
                     95,                0.71632,                0.42523,                 1.2071,                0.99086,                      1,                  0.995,                0.83871,                0.78043,                0.41319,                  1.058,             0.00011569,             0.00011569,             0.00011569
                     96,                0.53465,                0.34132,                0.95266,                0.99091,                      1,                  0.995,                 0.8335,                0.77007,                0.40055,                 1.0488,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.54019,                0.32132,                0.94478,                 0.9909,                      1,                  0.995,                0.83303,                0.75753,                0.38857,                 1.0384,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.67253,                0.39229,                 1.1669,                0.99094,                      1,                  0.995,                0.83303,                0.75177,                0.37412,                  1.031,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.52177,                0.31262,                0.91719,                0.99105,                      1,                  0.995,                0.83378,                0.75021,                0.37112,                 1.0266,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.52628,                0.31485,                0.96168,                0.99186,                      1,                  0.995,                0.83378,                0.74934,                0.36789,                 1.0243,             3.3173e-05,             3.3173e-05,             3.3173e-05
